STATEFP,COUNTYFP,GEOID,NAME,NAMELSAD,STUSPS,POPULATION,GDP,AVG_DEM_PCT,AVG_REP_PCT,DECLARATIONS,HM,PA,HM_PLAN_STATUS
1,31,39,31039,Cuming,Cuming County,NE,9013,710830,0.228069024,0.746419237,13,NA,1907738.49,APPROVED
2,53,69,53069,Wahkiakum,Wahkiakum County,WA,4422,99965,0.428907142,0.528588196,15,22500,2710904.93,APPROVED
3,35,11,35011,De Baca,De Baca County,NM,1698,80245,0.294816546,0.673461723,2,131234,137481.62,PLAN_IN_PROGRESS
4,31,109,31109,Lancaster,Lancaster County,NE,322608,20409844,0.470760295,0.489298768,7,11407080.57,23136413.23,APPROVED
5,31,129,31129,Nuckolls,Nuckolls County,NE,4095,237644,0.229215035,0.740114968,10,17827.67,1147589.17,APPROVED
6,46,99,46099,Minnehaha,Minnehaha County,SD,197214,19352295,0.439746035,0.533866171,8,2261826.36,20303397.74,APPROVED
7,48,327,48327,Menard,Menard County,TX,1962,50261,0.249756116,0.735173657,8,NA,653395.19,EXPIRED
8,6,91,6091,Sierra,Sierra County,CA,3236,97334,0.344654175,0.601783502,5,57959,4934563.02,EXPIRED
9,21,53,21053,Clinton,Clinton County,KY,9253,340941,0.186929993,0.799182538,4,84731.25,41585.5,APPROVED
10,39,63,39063,Hancock,Hancock County,OH,74920,5472960,0.312479867,0.662551413,5,5552659.15,6618407.7,APPROVED
11,48,189,48189,Hale,Hale County,TX,32522,1305806,0.24035741,0.744301181,4,NA,16190.56,NA
12,1,27,1027,Clay,Clay County,AL,14236,476508,0.254981542,0.731553553,8,212545.7,546680.7,APPROVED
13,48,11,48011,Armstrong,Armstrong County,TX,1848,69168,0.116558244,0.872613234,5,NA,19577.59,APPROVED
14,39,3,39003,Allen,Allen County,OH,102206,8116399,0.333040835,0.646142864,5,34500,6752708.03,APPROVED
15,13,189,13189,McDuffie,McDuffie County,GA,21632,698187,0.40110526,0.589104161,4,71193.75,546294.82,APPROVED
16,55,111,55111,Sauk,Sauk County,WI,65763,3802599,0.531428848,0.443443196,5,12819436.31,8055048.02,APPROVED
17,5,137,5137,Stone,Stone County,AR,12359,231608,0.318860378,0.643078931,11,30000,4803448.12,APPROVED
18,41,63,41063,Wallowa,Wallowa County,OR,7391,339638,0.279786719,0.678631817,3,1009282.69,4547.19,APPROVABLE_PENDING_ADOPTION
